The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
An Improved Ant-tree Algorithm for Image Segmentation,Xiaochun Yang; Weidong Zhao; Xin Fang; Yufei Chen; Junli Wang,Abstract In this paper; we consider the use of Ant-Tree algorithm; inspired by the ants' self-assembling behavior; for image segmentation. Three features including the gray value;gradient and neighborhood of pixels are extracted for clustering and a new initializationmethod is also presented in this paper by making use of the histogram of the image. A three-level tree model is proposed to make our algorithm more adaptive for image segmentation.Meanwhile; in order to acquire more accurate results; centroid approximation method isemployed to modify the center of each sub-tree dynamically. Experiments and comparisonsshow that the Ant-Tree based clustering algorithm is an effective and efficient approach inimage segmentation.,JOURNAL OF INFORMATION &COMPUTATIONAL SCIENCE,2008,*
Pilot Study on Functional Activity Mapping during Intraoral Thermal Sensory Stimulation Using fMRI,Xiu-wen YANG; Hong-chen LIU; Ke Li,Objective: To primarily evaluate the feasibility of functional magnetic resonance imaging onthe location of brain regions related to intraoral thermal stimuli with water. Methods: Avolunteer was selected to perform the fMRI study. A self-made water injection device wasemployed to induce intraoral thermosensory; and block designed BOLD functional magneticresonance imaging fMRI scan covering the whole brain was carried out. The fMRI data wereanalyzed by SPM99 software to generate the activation map. Results: The warm; hot andcold stimulations on healthy subject were found to have different activation sites of cerebralcortex. Conclusion: fMRI may be used in exploring human cortical activation induced byintraoral thermal stimuli with water if proper stimulation methods were practiced. The exactbrain regions for thermal stimuli need to be made clear by further study.,Journal of Oral Science Research,2008,*
The Specified Example Research of Mathematic Basis of Formal B Method,Yu CHEN; Sheng-rong ZOU; Xue-ping YANG,B method is one of the few practical formal methods. It is based on the strict mathematicsand pierces the process of the whole software development. It is especially useful in thedevelopment of the large complicated system. It adopts a strict mathematics test; promisingthe accuracy of each one step. This paper describes the rule of the production of antibody inthe humoral immunity of immune system with mathematic formula; and then describes theformula with abstract machine of formal b method. We get the result in accordance with therule of humoral immunity.,Journal of Changshu Institute of Technology,2008,*
Fatty acid binding protein 7: A novel marker for clear cell renal cell carcinoma,KA Kasper; JF Zhang; F Lin; D Petillo; M Westphal; C Luan; BT Teh; XJ Yang,*,LABORATORY INVESTIGATION,2008,*
Correction: Deficiency of FLCN in Mouse Kidney Led to Development of Polycystic Kidneys and Renal Neoplasia,Jindong Chen; Kunihiko Futami; David Petillo; Jun Peng; Pengfei Wang; Jared Knol; Yan Li; Sok-Kean Khoo; Dan Huang; Chao-Nan Qian; Ping Zhao; Karl Dykema; Racheal Zhang; Brian Cao; Ximing J Yang; Kyle Furge; Bart O Williams; Bin Tean Teh,Copyright Public Library of Science. This is an open-access article distributed under the termsof the Creative Commons Attribution License; which permits unrestricted use; distribution; andreproduction in any medium; provided the original work is properly cited … This corrects thearticle "Deficiency of FLCN in Mouse Kidney Led to Development of Polycystic Kidneys and RenalNeoplasia" in PLoS ONE; volume 3; e3581 … The 12th author's name was spelledincorrectly. It should read: Karl Dykema … External link. Please review our privacy policy.,PloS one,2008,*
K Fan’s Theorem on L-closure Spaces connectedness,Bo GUO; Xiao-fei YANG,Connectedness is very imporant on topology.This paper illustrates K Fan's Theorem on L-closureSpaces by means of remote neighborhood;and some results are introduced.,Journal of Southwest University for Nationalities (Natural Science Edition),2008,*
A new space-time-doppler code for time-selective fading channels,N Wei; XY Yang; TC Li; SG Zhang; SJ Ding,Relying on a layered algebraic design; we derive a new space-time-Doppler (STD) code formultiple input multiple output (MIMO) time-selective fading channels. The proposed STDcode achieves rate Nt and enables full-diversity NtNrNb (Q+ 1); ie; the product of the numberof transmit antennas Nt; receive antennas Nr; coding blocks Nb and channel complexexponential bases (Q+ 1). Simulation results show that the proposed STD codes achievehigher diversity gain in time-selective channels than some existing STD codes.,*,2008,*
Detection of K-ras Gene Point Mutation and Its Style at Codon 12 in Human Pancreatic Cancer Cell Line Patu 8988 by PCR-SSP and Sequence Analysis,Miao-li SONG; Xiao-chun YANG; Yong-mei SHEN; Mei-hua ZHANG; Yi-hui SUN; Jun-kang SHEN,Objective To decide the base sequences of target position for gene therapy; the K-ras pointmutation and its style at codon 12 in human pancreatic cancer cell line Patu 8988 wasdetected. Methods Three kinds of special sequence primers (SSP) for polymerase chainreaction (PCR) with regard to the mutation styles (CGT; GTT; GAT) at codon 12 of K-ras wereused to study the human pancreatic cancer cell line Patu 8988. The amplification productswere studied with 12% polyacrylamine gel eletrophoresis to detect the style of pointmutation. The K-ras gene of Patu 8988 cell was amplified by RT-PCR and the amplificationproducts were directly sequenced. Results The human pancreatic cancer cell line Patu 8988had point mutation at codon 12 and the mutation style was GGT→ GTT. The result of PCR-SSP was completely in accord with that of sequence analysis. Conclusion The …,Suzhou University Journal of Medical Science,2008,*
The Application of Paracentesis of Anterior Chamber and Adjustable Suture Combined with Mitomycin in Glaucoma Trabeculectomy,Yu-hua FANG; Xiao-chun YANG; Xiao-lan CHEN; Qing-qing LENG; Jian-cheng HE; Xing-xing LIN,Objective To explore the application and curative effect of paracentesis and adjustablesuture in trabeculectomy. Methods A follow up for six to eighteen months observation wascarried out for total 57 cases (77 eyes) who had trabeculectomy with paracentesis andadjustable suture which include 26 cases of acute angle-closeure glaucoma; 18 cases ofchronic angle-closure glaucoma; 6 cases of open-angle glaucoma; 7 cases of refractoryglaucoma. Results Four eyes had post-operative visual acuity increased by 1~ 2 lines; 67eyes had no improvement in visual acuity; the post-operative visual acuity of 6 eyes wasdecreased by 1~ 2 lines. The average intraocular pressure was about 12.26 mmHg by thetime of discharge; it was about 13.26 mm Hg at two weeks of post-operation and it was about15.69 mm Hg 6~ 18 months of post-operation. There was no case developed durative …,Practical Clinical Medicine,2008,*
HPLC determination of oleanolic acid and ursolic acid in Ilex Kudingcha CJ Tseng,Jian-an HUANG,To develop an RP-HPLC method for simultaneous determination of oleanolic acid andursolic acid in Ilex Kudingcha CJ Tseng. Method: The optimum HPLC condition was asfollows: Betaisil C18column (4.6 mm× 150 mm; 5 μm); mobile phase: acetonitrile-water (95:5); detection wavelength: 210 nm; column temperature: 35; flow rate: 0.5 mL· min-1. Results:There were good linearity between peak areas and injection quantity of oleanolic acid in therange of 0.17-3.5 μg and ursolic acid ranging from 0.20 to 4.0 μg. The average recovery was93.3% for oleanolic acid and 95.9% for ursolic acid respectively. Conclusion: The methodcould detect oleanolic acid and ursolic acid in Ilex Kudingcha CJ Tseng simultaneously. TheHPLC measurement was reasonable; stable and accurate.,Chinese Journal of Pharmaceutical Analysis,2007,*
Innovating Database Technology for Advanced Applications,Ge Yu; Guoren Wang; Xiaochun Yang; Derong Shen; Daling Wang,This paper discusses the new trends of innovative database technology for advancedapplications; under the background of the research and development activities of thedatabase group of Northeastern University; China. The brief history of around 30 years isretrospected. The ongoing research issues on the key database techniques for emergingadvanced applications are presented. Finally; the experiences and lessons are examined;and the future work is discussed.,Network and Parallel Computing Workshops; 2007. NPC Workshops. IFIP International Conference on,2007,*
Protein synthesis inhibition in the basolateral nucleus of amygdala facilitates extinction of auditory fear memory,XinChun Jin; XueLian Qi; XiaoFei Yang; BaoMing Li,Abstract It is known that consolidation of fear conditioning requires de novo protein synthesisin the amygdala. However; there is controversy about the role of protein synthesis in post-retrieval extinction of fear memory. The present study investigated the effect of proteinsynthesis inhibition (PSI) in the basolateral nucleus of amygdala (BLA) on post-retrievalextinction of auditory fear memory. Intra-BLA infusion of the protein synthesis inhibitoranisomycin '0'h post-retrieval facilitated the extinction; but was ineffective if the memory wasnot retrieved. Anisomycin had no effect on the extinction when it was infused 6 h post-retrieval. The present results suggest that there exists a protein-synthesis-dependentmechanism in the BLA that retards extinction of auditory fear memory.,Chinese Science Bulletin,2007,*
HPLC determination of mollugin in Shisanwei Ximing capsules,Ning ZHANG,To establish an HPLC method for determination of mollugin in Shisanwei Ximing capsules.Methods: A Diamonsil C18 column (250 mm× 4.6 mm; 5 μm) was used with methanol-0.2%phosphoric acid (85: 15) as mobile phase; the flow rate was 1.0 mL· min-1; and the UVdetection wavelength was set at 250 nm. Results: The calibration curve of mollugin waslinear in the range of 0.1872-0.5850 μg; r= 0.9998. The average recovery (n= 6) was 99.3%with RSD of 1.6%. Conclusion: The method is simple; quick and accurate. It can be used forthe quality control of Shisanwei Ximing capsules.,Chinese Journal of Pharmaceutical Analysis,2007,*
Particles; aerosols; and their transport in the built environment,Qingyan Yan Chen; Xudong Yang; Bin Zhao,*,*,2007,*
Asc system predominatly mediates homocysteine transport and is lysosomal dependent in endothelia cells; but not in smooth muscle cells,X Jiang; F Yang; E Brailoiu; H Jakubowski; N Dun; A Schafer; X Yang; W Durante; H Wang,Read 'ASC system predominatly mediates homocysteine transport and is lysosomal dependentin endothelia cells; but not in smooth muscle cells' on Ovid Insights.,Clinical Chemistry and Laboratory Medicine,2007,*
Renal oncocytoma with renal vein extension,O Hes; M Michal; R Sima; N Kuroda; G Martignoni; M Brunelli; I Alvarado Cabrero; M Hora; X Yang,*,LABORATORY INVESTIGATION,2007,*
Changes of Sugar Contents and Sucrose-metabolizing Enzyme Activities in Developing Fruit of Two Pepper Materials,Pan-dong CHEN; Huo-lin SHEN; Xue-yan YANG; Li-hua MA,Sugar contents and activities of sucrose-metabolizing enzymes in the fruits were studiedduring the fruit development of a sweet pepper material (405) and a hot pepper material(Fudijian). The results showed that; during the green ripen stage and turning stage; thesucrose and total soluble sugar contents of the sweet pepper were much higher than the hotpepper; for example; the total soluble sugar contents of the sweet pepper during green ripenstage was 213.3 mg/g; while the contents of hot pepper was 97.6 mg/g. The contents ofsucrose and starch had a fluctuation after green ripen stage in 405 compared with Fudijianthroughout the growth. There was no noted difference on the trend of sucrose-metabolizingenzyme activities among the two materials. The acid invertase and neutral invertase activitywas high in the fast growth stage and ripening stage; but low in green ripen stage. The …,Acta Agriculturae Boreali-Sinica,2007,*
